[2018-06-12 19:59:47] INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 174 getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6069db50, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4efbca5a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@1b7cc17c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@59662a0b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@77fbd92c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@67c27493]
[2018-06-12 19:59:47] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 317 loadBeanDefinitions - Loading XML bean definitions from class path resource [applicationContext.xml]
[2018-06-12 19:59:48] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 317 loadBeanDefinitions - Loading XML bean definitions from class path resource [spring-threadpool.xml]
[2018-06-12 19:59:48] INFO  org.springframework.context.support.AbstractApplicationContext 583 prepareRefresh - Refreshing org.springframework.context.support.GenericApplicationContext@6a6cb05c: startup date [Tue Jun 12 19:59:48 CST 2018]; root of context hierarchy
[2018-06-12 19:59:49] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor 155 <init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[2018-06-12 19:59:49] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 165 initialize - Initializing ExecutorService  'taskExecutor'
[2018-06-12 19:59:50] INFO  com.alibaba.druid.pool.DruidDataSource 922 init - {dataSource-1} inited
[2018-06-12 19:59:52] INFO  org.springframework.context.support.AbstractApplicationContext 984 doClose - Closing org.springframework.context.support.GenericApplicationContext@6a6cb05c: startup date [Tue Jun 12 19:59:48 CST 2018]; root of context hierarchy
[2018-06-12 19:59:52] INFO  com.alibaba.druid.pool.DruidDataSource 1817 close - {dataSource-1} closed
[2018-06-12 19:59:52] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 202 shutdown - Shutting down ExecutorService 'taskExecutor'
[2018-06-12 22:20:29] INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 248 getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[2018-06-12 22:20:29] INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 174 getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6069db50, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4efbca5a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@1b7cc17c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@59662a0b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@77fbd92c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@67c27493]
[2018-06-12 22:20:29] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 317 loadBeanDefinitions - Loading XML bean definitions from class path resource [applicationContext.xml]
[2018-06-12 22:20:31] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 317 loadBeanDefinitions - Loading XML bean definitions from class path resource [spring-threadpool.xml]
[2018-06-12 22:20:32] INFO  org.springframework.context.support.AbstractApplicationContext 583 prepareRefresh - Refreshing org.springframework.context.support.GenericApplicationContext@6a6cb05c: startup date [Tue Jun 12 22:20:32 CST 2018]; root of context hierarchy
[2018-06-12 22:20:34] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor 155 <init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[2018-06-12 22:20:34] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 165 initialize - Initializing ExecutorService  'taskExecutor'
[2018-06-12 22:20:36] INFO  com.alibaba.druid.pool.DruidDataSource 922 init - {dataSource-1} inited
[2018-06-12 22:20:40] INFO  org.springframework.context.support.AbstractApplicationContext 984 doClose - Closing org.springframework.context.support.GenericApplicationContext@6a6cb05c: startup date [Tue Jun 12 22:20:32 CST 2018]; root of context hierarchy
[2018-06-12 22:20:40] INFO  com.alibaba.druid.pool.DruidDataSource 1817 close - {dataSource-1} closed
[2018-06-12 22:20:40] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 202 shutdown - Shutting down ExecutorService 'taskExecutor'
[2018-06-12 22:22:21] INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 248 getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[2018-06-12 22:22:21] INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 174 getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6069db50, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4efbca5a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@1b7cc17c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@59662a0b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@77fbd92c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@67c27493]
[2018-06-12 22:22:22] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 317 loadBeanDefinitions - Loading XML bean definitions from class path resource [applicationContext.xml]
[2018-06-12 22:22:22] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 317 loadBeanDefinitions - Loading XML bean definitions from class path resource [spring-threadpool.xml]
[2018-06-12 22:22:23] INFO  org.springframework.context.support.AbstractApplicationContext 583 prepareRefresh - Refreshing org.springframework.context.support.GenericApplicationContext@6a6cb05c: startup date [Tue Jun 12 22:22:23 CST 2018]; root of context hierarchy
[2018-06-12 22:22:23] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor 155 <init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[2018-06-12 22:22:24] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 165 initialize - Initializing ExecutorService  'taskExecutor'
[2018-06-12 22:22:25] INFO  com.alibaba.druid.pool.DruidDataSource 922 init - {dataSource-1} inited
[2018-06-12 22:22:26] INFO  org.springframework.context.support.AbstractApplicationContext 984 doClose - Closing org.springframework.context.support.GenericApplicationContext@6a6cb05c: startup date [Tue Jun 12 22:22:23 CST 2018]; root of context hierarchy
[2018-06-12 22:22:26] INFO  com.alibaba.druid.pool.DruidDataSource 1817 close - {dataSource-1} closed
[2018-06-12 22:22:26] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 202 shutdown - Shutting down ExecutorService 'taskExecutor'
[2018-06-12 22:40:40] INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 248 getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[2018-06-12 22:40:40] INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 174 getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6069db50, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4efbca5a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@1b7cc17c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@59662a0b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@77fbd92c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@67c27493]
[2018-06-12 22:40:40] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 317 loadBeanDefinitions - Loading XML bean definitions from class path resource [applicationContext.xml]
[2018-06-12 22:40:40] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 317 loadBeanDefinitions - Loading XML bean definitions from class path resource [spring-threadpool.xml]
[2018-06-12 22:40:41] INFO  org.springframework.context.support.AbstractApplicationContext 583 prepareRefresh - Refreshing org.springframework.context.support.GenericApplicationContext@6a6cb05c: startup date [Tue Jun 12 22:40:41 CST 2018]; root of context hierarchy
[2018-06-12 22:40:42] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor 155 <init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[2018-06-12 22:40:42] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 165 initialize - Initializing ExecutorService  'taskExecutor'
[2018-06-12 22:40:43] INFO  com.alibaba.druid.pool.DruidDataSource 922 init - {dataSource-1} inited
[2018-06-12 22:40:45] INFO  org.springframework.context.support.AbstractApplicationContext 984 doClose - Closing org.springframework.context.support.GenericApplicationContext@6a6cb05c: startup date [Tue Jun 12 22:40:41 CST 2018]; root of context hierarchy
[2018-06-12 22:40:45] INFO  com.alibaba.druid.pool.DruidDataSource 1817 close - {dataSource-1} closed
[2018-06-12 22:40:45] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 202 shutdown - Shutting down ExecutorService 'taskExecutor'
[2018-06-12 23:10:32] INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 248 getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[2018-06-12 23:10:32] INFO  org.springframework.test.context.support.AbstractTestContextBootstrapper 174 getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6069db50, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4efbca5a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@1b7cc17c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@59662a0b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@77fbd92c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@67c27493]
[2018-06-12 23:10:32] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 317 loadBeanDefinitions - Loading XML bean definitions from class path resource [applicationContext.xml]
[2018-06-12 23:10:33] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader 317 loadBeanDefinitions - Loading XML bean definitions from class path resource [spring-threadpool.xml]
[2018-06-12 23:10:33] INFO  org.springframework.context.support.AbstractApplicationContext 583 prepareRefresh - Refreshing org.springframework.context.support.GenericApplicationContext@6a6cb05c: startup date [Tue Jun 12 23:10:33 CST 2018]; root of context hierarchy
